"BarcodeID","TripID","Region","Reach","Date","SampleNumber","RiverMile","DepthTotal","DepthSample","DepthIntegrated","GearID","TimeDay","TimeBegin","TimeElapsed","SuspendedLoad","Collector","FmUse","FiltrationEfficiency","Distance","Velocity","Volume","FlagStrange","FlagDelete","EntererSample","Processor","ProcessDate","ProcessTime","QAQC","Checker","EntererSpecimen","Notes"
"D00030","GC20120419","GrandCanyon","CRGrandCanyon","04/22/2012","11",19.00,28.00,24.00,0,4,"Crepuscular","19:36:00",308,,,"Net",,203.15,0.66,41.18,0,0,,"PhillipsC","10/01/2012",3.50,0,,,"Natal Origins 2012 April trip. Taken in a place a bit shallower than the Day samples. "
"D00031","GC20120419","GrandCanyon","CRGrandCanyon","04/22/2012","12",19.00,28.00,12.00,0,4,"Crepuscular","19:46:00",303,,,"Net",,228.57,0.75,46.33,0,0,,"PhillipsC","09/24/2012",5.00,0,,,"Natal Origins 2012 April trip. Taken in a place a bit shallower than the Day samples. "
"D00032","GC20120419","GrandCanyon","CRGrandCanyon","04/23/2012","2",39.60,17.00,7.00,0,4,"Crepuscular","18:20:00",307,,,"Net",,203.63,0.66,41.28,0,0,,"QuigleyT","10/02/2012",4.00,0,,,"Natal Origins 2012 April trip."
"D00033","GC20120419","GrandCanyon","CRGrandCanyon","04/23/2012","3",39.60,17.00,14.00,0,4,"Crepuscular","18:36:00",310,,,"Net",,193.46,0.62,39.21,0,0,,"EvansM","10/05/2012",5.53,0,,,"Natal Origins 2012 April trip."
"D00034","GC20120419","GrandCanyon","CRGrandCanyon","04/23/2012","5",39.60,17.00,14.00,0,4,"Crepuscular","19:36:00",321,,,"Net",,253.91,0.79,51.47,1,0,,"PhillipsC","09/21/2012",9.00,0,,,"Natal Origins 2012 April trip. No extra Lumbriculidae count on 250 um sieve, when I think there should be one. "
"D00035","GC20120419","GrandCanyon","CRGrandCanyon","04/23/2012","6",39.60,17.00,7.00,0,4,"Crepuscular","19:48:00",318,,,"Net",,259.40,0.82,52.58,0,0,,"QuigleyT","10/02/2012",5.38,0,,,"Natal Origins 2012 April trip. "
"D00036","GC20120419","GrandCanyon","CRGrandCanyon","04/24/2012","1",39.60,18.00,8.00,0,4,"Day","11:34:00",299,,,"Net",,196.18,0.66,39.77,0,0,,"PhillipsC","10/01/2012",4.50,0,,,"Natal Origins 2012 April trip. "
"D00037","GC20120419","GrandCanyon","CRGrandCanyon","04/24/2012","3",39.60,18.00,8.00,0,4,"Day","11:59:00",237,,,"Net",,183.57,0.77,37.21,0,0,,"EvansM","10/03/2012",3.50,0,,,"Natal Origins 2012 April trip. "
"D00038","GC20120419","GrandCanyon","CRGrandCanyon","04/24/2012","5",39.60,18.00,8.00,0,4,"Day","12:24:00",248,,,"Net",,158.41,0.64,32.11,0,0,,"EvansM","09/27/2012",3.75,0,,,"Natal Origins 2012 April trip. "
"D00039","GC20120419","GrandCanyon","CRGrandCanyon","04/24/2012","6",39.60,18.00,15.00,0,4,"Day","12:36:00",236,,,"Net",,131.62,0.56,26.68,0,0,,"QuigleyT","09/28/2012",5.00,0,,,"Natal Origins 2012 April trip. "
"D00040","GC20120419","GrandCanyon","CRGrandCanyon","04/24/2012","8",39.60,18.00,7.00,0,4,"Crepuscular","18:22:00",243,,,"Net",,148.43,0.61,30.09,0,0,,"EvansM","09/17/2012",3.70,0,,,"Natal Origins 2012 April trip. "
"D00041","GC20120419","GrandCanyon","CRGrandCanyon","04/24/2012","9",39.60,18.00,14.00,0,4,"Crepuscular","18:34:00",241,,,"Net",,159.54,0.66,32.34,0,0,,"EvansM","09/24/2012",4.00,0,,,"Natal Origins 2012 April trip. "
"D00042","GC20120419","GrandCanyon","CRGrandCanyon","04/24/2012","11",39.60,18.00,14.00,0,4,"Crepuscular","19:34:00",248,,,"Net",,171.41,0.69,34.74,0,0,,"QuigleyT","09/24/2012",6.32,0,,,"Natal Origins 2012 April trip. "
"D00043","GC20120419","GrandCanyon","CRGrandCanyon","04/24/2012","12",39.60,18.00,7.00,0,4,"Crepuscular","19:48:00",236,,,"Net",,174.98,0.74,35.47,0,0,,"QuigleyT","10/01/2012",5.13,0,,,"Natal Origins 2012 April trip. "
"D00044","GC20120419","GrandCanyon","CRGrandCanyon","04/25/2012","2",63.50,15.00,4.00,0,4,"Crepuscular","18:34:00",279,,,"Net",,142.97,0.51,28.98,0,0,,"EvansM","09/26/2012",3.88,0,,,"Natal Origins 2012 April trip. Very variable channel depth.  All the deep samples have different depths, but all are about 3 ft off bottom. "
"D00045","GC20120419","GrandCanyon","CRGrandCanyon","04/25/2012","2",61.35,18.00,7.00,0,4,"Day","15:32:00",252,,,"Net",,271.77,1.08,55.09,0,0,,"QuigleyT","09/25/2012",7.83,0,,,"Natal Origins 2012 April trip. "
"D00046","GC20120419","GrandCanyon","CRGrandCanyon","04/25/2012","3",63.50,15.00,11.00,0,4,"Crepuscular","18:44:30",279,,,"Net",,171.86,0.62,34.84,0,0,,"QuigleyT","10/08/2012",5.50,0,,,"Natal Origins 2012 April trip. Very variable channel depth.  All the deep samples have different depths, but all are about 3 ft off bottom. "
"D00047","GC20120419","GrandCanyon","CRGrandCanyon","04/25/2012","4",61.35,18.00,7.00,0,4,"Day","15:56:00",249,,,"Net",,226.85,0.91,45.98,0,0,,"QuigleyT","09/27/2012",6.50,0,,,"Natal Origins 2012 April trip. "
"D00048","GC20120419","GrandCanyon","CRGrandCanyon","04/25/2012","5",63.50,15.00,14.00,0,4,"Crepuscular","19:38:16",290,,,"Net",,87.96,0.30,17.83,0,0,,"PhillipsC","10/05/2012",3.50,0,,,"Natal Origins 2012 April trip. Very variable channel depth.  All the deep samples have different depths, but all are about 3 ft off bottom. "
"D00049","GC20120419","GrandCanyon","CRGrandCanyon","04/25/2012","6",61.35,18.00,7.00,0,4,"Day","16:20:15",235,,,"Net",,213.94,0.91,43.37,0,0,,"EvansM","09/18/2012",6.13,0,,,"Natal Origins 2012 April trip. "
"D00050","GC20120419","GrandCanyon","CRGrandCanyon","04/25/2012","6",63.50,15.00,4.00,0,4,"Crepuscular","19:56:17",283,,,"Net",,180.55,0.64,36.60,0,0,,"QuigleyT","10/04/2012",5.08,0,,,"Natal Origins 2012 April trip. Very variable channel depth.  All the deep samples have different depths, but all are about 3 ft off bottom. "
"D00051","GC20120419","GrandCanyon","CRGrandCanyon","04/25/2012","5",61.35,18.00,14.00,0,4,"Day","16:08:00",252,,,"Net",,219.24,0.87,44.44,0,0,,"PhillipsC","10/02/2012",7.00,0,,,"Natal Origins 2012 April trip. "
"D00052","GC20120419","GrandCanyon","CRGrandCanyon","04/26/2012","1",63.50,12.00,4.00,0,4,"Day","12:59:00",235,,,"Net",,178.99,0.76,36.28,0,0,,"QuigleyT","09/26/2012",6.20,0,,,"Natal Origins 2012 April trip. Variable channel depths.  Deep samples are all about 3 ft off bottom. "
"D00053","GC20120419","GrandCanyon","CRGrandCanyon","04/26/2012","3",63.50,12.00,4.00,0,4,"Day","13:24:00",244,,,"Net",,178.97,0.73,36.28,0,0,,"EvansM","10/02/2012",5.35,0,,,"Natal Origins 2012 April trip. Variable channel depths.  Deep samples are all about 3 ft off bottom. "
"D00054","GC20120419","GrandCanyon","CRGrandCanyon","04/26/2012","5",63.50,12.00,4.00,0,4,"Day","13:50:00",253,,,"Net",,165.95,0.66,33.64,0,0,,"EvansM","09/28/2012",5.47,0,,,"Natal Origins 2012 April trip. Variable channel depths.  Deep samples are all about 3 ft off bottom. "
"D00055","GC20120419","GrandCanyon","CRGrandCanyon","04/26/2012","6",63.50,12.00,8.00,0,4,"Day","14:02:00",236,,,"Net",,174.66,0.74,35.40,0,0,,"QuigleyT","10/17/2012",6.50,0,,,"Natal Origins 2012 April trip. Variable channel depths.  Deep samples are all about 3 ft off bottom. "
"D00056","GC20120419","GrandCanyon","CRGrandCanyon","04/26/2012","8",63.50,12.00,4.00,0,4,"Crepuscular","18:36:00",244,,,"Net",,148.43,0.61,30.09,0,0,,"PhillipsC","10/16/2012",5.50,0,,,"Natal Origins 2012 April trip. Variable channel depths.  Deep samples are all about 3 ft off bottom. "
"D00057","GC20120419","GrandCanyon","CRGrandCanyon","04/26/2012","9",63.50,12.00,5.00,0,4,"Crepuscular","18:47:00",246,,,"Net",,121.70,0.49,24.67,0,0,,"PhillipsC","10/16/2012",5.50,0,,,"Natal Origins 2012 April trip. Variable channel depths.  Deep samples are all about 3 ft off bottom. "
"D00058","GC20120419","GrandCanyon","CRGrandCanyon","04/26/2012","11",63.50,12.00,9.00,0,4,"Crepuscular","19:35:00",246,,,"Net",,145.82,0.59,29.56,0,0,,"EvansM","10/19/2012",3.30,0,,,"Natal Origins 2012 April trip. Variable channel depths.  Deep samples are all about 3 ft off bottom. "
"D00059","GC20120419","GrandCanyon","CRGrandCanyon","04/26/2012","12",63.50,12.00,4.00,0,4,"Crepuscular","19:48:00",244,,,"Net",,93.02,0.38,18.86,0,0,,"QuigleyT","10/17/2012",2.85,0,,,"Natal Origins 2012 April trip. Variable channel depths.  Deep samples are all about 3 ft off bottom. "
"D00060","GC20120419","GrandCanyon","CRGrandCanyon","04/27/2012","3",61.35,17.00,14.00,0,4,"Crepuscular","18:41:00",246,,,"Net",,179.45,0.73,36.37,0,0,,"EvansM","09/19/2012",5.52,0,,,"Natal Origins 2012 April trip. "
"D00061","GC20120419","GrandCanyon","CRGrandCanyon","04/27/2012","5",61.35,17.00,14.00,0,4,"Crepuscular","19:36:00",240,,,"Net",,183.11,0.76,37.12,0,0,,"PhillipsC","09/13/2012",6.00,0,,,"Natal Origins 2012 April trip. "
"D00062","GC20120419","GrandCanyon","CRGrandCanyon","04/27/2012","6",61.35,17.00,7.00,0,4,"Crepuscular","19:50:00",240,,,"Net",,177.94,0.74,36.07,0,0,,"EvansM","09/20/2012",3.62,0,,,"Natal Origins 2012 April trip. "
"D00063","GC20120419","GrandCanyon","CRGrandCanyon","04/27/2012","2",61.35,17.00,7.00,0,4,"Crepuscular","18:27:00",243,,,"Net",,190.29,0.78,38.57,0,0,,"QuigleyT","10/18/2012",5.08,0,,,"Natal Origins 2012 April trip. "
"D00064","GC20120419","GrandCanyon","CRGrandCanyon","04/29/2012","2",61.35,17.00,7.00,0,4,"Crepuscular","18:28:00",242,,,"Net",,205.25,0.85,41.60,0,0,,"SmithJ","10/18/2012",7.00,0,,,"Natal Origins 2012 April trip. "
"D00065","GC20120419","GrandCanyon","CRGrandCanyon","04/29/2012","3",61.35,17.00,14.00,0,4,"Crepuscular","18:44:00",242,,,"Net",,180.42,0.75,36.57,0,0,,"QuigleyT","10/19/2012",5.60,0,,,"Natal Origins 2012 April trip. "
"D00066","GC20120419","GrandCanyon","CRGrandCanyon","04/29/2012","5",61.35,17.00,14.00,0,4,"Crepuscular","19:49:00",239,,,"Net",,170.65,0.71,34.59,0,0,,"PhillipsC","10/17/2012",7.00,0,,,"Natal Origins 2012 April trip. "
"D00067","GC20120419","GrandCanyon","CRGrandCanyon","04/29/2012","6",61.35,17.00,7.00,0,4,"Crepuscular","20:03:00",235,,,"Net",,188.25,0.80,38.16,0,0,,"PhillipsC","10/17/2012",5.00,0,,,"Natal Origins 2012 April trip. "
"D00098","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","1",225.40,36.00,,1,5,"Day","14:20:22",208,,,"Net",,166.00,0.80,33.65,1,0,,"PhillipsC","11/15/2012",6.42,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00099","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","2",225.40,36.00,,1,4,"Day","14:31:38",217,,,"Net",,190.56,0.88,38.63,1,0,,"EvansM","11/14/2012",3.13,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00100","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","3",225.40,36.00,,1,5,"Day","14:46:52",272,,,"Net",,262.81,0.97,53.27,1,0,,"QuigleyT","11/15/2012",4.03,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00101","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","4",225.40,36.00,,1,4,"Day","15:02:17",268,,,"Net",,234.46,0.87,47.53,1,0,,"QuigleyT","10/19/2012",5.20,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00102","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","5",225.40,36.00,,1,5,"Day","15:12:40",278,,,"Net",,264.13,0.95,53.54,1,0,,"EvansM","11/16/2012",4.73,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00103","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","6",225.40,36.00,,1,4,"Day","15:22:51",333,,,"Net",,319.57,0.96,64.78,1,0,,"EvansM","11/16/2012",5.65,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00104","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","9",225.40,36.00,,1,5,"Night","20:54:18",280,,,"Net",,230.16,0.82,46.65,1,0,,"QuigleyT","11/07/2012",7.47,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00105","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","10",225.40,36.00,,1,4,"Night","21:06:13",272,,,"Net",,252.48,0.93,51.18,1,0,,"QuigleyT","11/13/2012",7.83,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00106","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","11",225.40,36.00,,1,5,"Night","21:16:30",245,,,"Net",,211.06,0.86,42.78,1,0,,"EvansM","11/07/2012",3.80,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00107","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","12",225.40,36.00,,1,4,"Night","21:24:23",274,,,"Net",,242.26,0.88,49.11,1,0,,"EvansM","11/13/2012",5.82,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00108","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","13",225.40,36.00,,1,5,"Night","21:34:30",244,,,"Net",,203.61,0.83,41.27,1,0,,"PhillipsC","11/08/2012",6.25,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00109","GC20120611","GrandCanyon","CRGrandCanyon","06/11/2012","14",225.40,36.00,,1,4,"Night","21:41:54",241,,,"Net",,218.29,0.91,44.25,1,0,,"QuigleyT","11/14/2012",6.68,0,,,"Used Bongo sampler for Day/Night 250 um/363 um mesh size comparison. "
"D00110","GC20120705","GrandCanyon","CRLeesFerry","07/05/2012","2",-3.40,14.50,11.50,0,4,"Crepuscular","19:22:43",214,,,"Net",,168.99,0.79,34.25,0,0,,"QuigleyT","11/19/2012",3.43,0,,,"Natal Origins 2012 July trip. "
"D00111","GC20120705","GrandCanyon","CRLeesFerry","07/05/2012","3",-3.40,14.50,3.50,0,4,"Crepuscular","19:34:41",215,,,"Net",,207.43,0.96,42.05,0,0,,"QuigleyT","11/19/2012",2.55,0,,,"Natal Origins 2012 July trip. "
"D00112","GC20120705","GrandCanyon","CRLeesFerry","07/05/2012","5",-3.40,14.50,3.50,0,4,"Crepuscular","20:09:02",214,,,"Net",,205.22,0.96,41.60,0,0,,"EvansM","11/20/2012",3.50,0,,,"Natal Origins 2012 July trip. "
"D00113","GC20120705","GrandCanyon","CRLeesFerry","07/05/2012","6",-3.40,14.50,11.50,0,4,"Crepuscular","20:20:54",217,,,"Net",,184.83,0.85,37.47,0,0,,"QuigleyT","11/20/2012",4.30,0,,,"Natal Origins 2012 July trip. "
"D00114","GC20120705","GrandCanyon","CRLeesFerry","07/06/2012","1",-3.40,14.00,11.00,0,4,"Day","11:24:06",211,,,"Net",,173.29,0.82,35.13,0,0,,"PhillipsC","11/28/2012",8.30,0,,,"Natal Origins 2012 July trip. "
"D00115","GC20120705","GrandCanyon","CRLeesFerry","07/06/2012","2",-3.40,14.00,3.50,0,4,"Day","11:35:30",243,,,"Net",,237.02,0.98,48.04,0,0,,"QuigleyT","11/20/2012",2.70,0,,,"Natal Origins 2012 July trip. "
"D00116","GC20120705","GrandCanyon","CRLeesFerry","07/06/2012","4",-3.40,14.00,3.50,0,4,"Day","11:59:08",246,,,"Net",,243.20,0.99,49.30,0,0,,"QuigleyT","11/25/2012",3.85,0,,,"Natal Origins 2012 July trip. "
"D00117","GC20120705","GrandCanyon","CRLeesFerry","07/06/2012","6",-3.40,14.00,3.50,0,4,"Day","12:20:37",260,,,"Net",,252.73,0.97,51.23,0,0,,"QuigleyT","11/29/2012",4.30,0,,,"Natal Origins 2012 July trip. "
"D00118","GC20120705","GrandCanyon","CRLeesFerry","07/06/2012","8",-3.40,18.00,15.00,0,4,"Crepuscular","19:27:53",250,,,"Net",,231.50,0.93,46.93,0,0,,"QuigleyT","11/28/2012",6.42,0,,,"Natal Origins 2012 July trip. "
"D00119","GC20120705","GrandCanyon","CRLeesFerry","07/06/2012","9",-3.40,18.00,3.50,0,4,"Crepuscular","19:33:24",242,,,"Net",,246.48,1.02,49.96,0,0,,"EvansM","11/28/2012",3.25,0,,,"Natal Origins 2012 July trip. "
"D00120","GC20120705","GrandCanyon","CRLeesFerry","07/06/2012","11",-3.40,18.00,3.50,0,4,"Crepuscular","20:02:05",240,,,"Net",,217.14,0.90,44.01,0,0,,"QuigleyT","11/28/2012",4.58,0,,,"Natal Origins 2012 July trip. "
"D00121","GC20120705","GrandCanyon","CRLeesFerry","07/06/2012","12",-3.40,18.00,15.00,0,4,"Crepuscular","20:22:15",235,,,"Net",,164.82,0.70,33.41,0,0,,"EvansM","11/26/2012",4.25,0,,,"Natal Origins 2012 July trip. "
"D00122","GC20120705","GrandCanyon","CRGrandCanyon","07/07/2012","2",19.00,33.00,29.00,0,4,"Crepuscular","19:27:24",261,,,"Net",,278.63,1.07,56.48,0,0,,"QuigleyT","12/06/2012",7.75,0,,,"Natal Origins 2012 July trip. Sample #1 doesn't exist; skipped because of logistical setbacks. "
"D00123","GC20120705","GrandCanyon","CRGrandCanyon","07/07/2012","3",19.00,33.00,3.50,0,4,"Crepuscular","19:42:24",216,,,"Net",,256.11,1.19,51.91,0,0,,"PhillipsC","12/04/2012",6.87,0,,,"Natal Origins 2012 July trip. "
"D00124","GC20120705","GrandCanyon","CRGrandCanyon","07/07/2012","5",19.00,33.00,3.50,0,4,"Crepuscular","20:03:45",212,,,"Net",,266.77,1.26,54.07,0,0,,"EvansM","12/04/2012",5.82,0,,,"Natal Origins 2012 July trip. "
"D00125","GC20120705","GrandCanyon","CRGrandCanyon","07/07/2012","6",19.00,33.00,28.00,0,4,"Crepuscular","20:21:09",210,,,"Net",,222.54,1.06,45.11,0,0,,"QuigleyT","12/05/2012",7.22,0,,,"Natal Origins 2012 July trip. "
"D00126","GC20120705","GrandCanyon","CRGrandCanyon","07/08/2012","1",19.00,26.00,23.00,0,4,"Day","12:37:03",237,,,"Net",,205.30,0.87,41.61,0,0,,"PhillipsC","12/05/2012",6.62,0,,,"Natal Origins 2012 July trip. "
"D00127","GC20120705","GrandCanyon","CRGrandCanyon","07/08/2012","2",19.00,26.00,3.50,0,4,"Day","12:51:25",240,,,"Net",,228.49,0.95,46.31,0,0,,"PhillipsC","11/29/2012",6.75,0,,,"Natal Origins 2012 July trip. "
"D00128","GC20120705","GrandCanyon","CRGrandCanyon","07/08/2012","4",19.00,26.00,3.50,0,4,"Day","13:19:12",244,,,"Net",,222.46,0.91,45.09,0,0,,"QuigleyT","11/30/2012",4.67,0,,,"Natal Origins 2012 July trip. "
"D00129","GC20120705","GrandCanyon","CRGrandCanyon","07/08/2012","6",19.00,26.00,3.50,0,4,"Day","13:45:28",240,,,"Net",,243.47,1.01,49.35,0,0,,"PhillipsC","11/30/2012",8.58,0,,,"Natal Origins 2012 July trip. "
