BarcodeID,TripID,Date,GearID,TimeDay,TimeBegin,TimeElapsed,DepthTotal,DepthSample,DepthIntegrated,Velocity,Volume,Temperature,Discharge,Stage,SpC,FlagStrange,Notes
D00964,LF20121117,11/18/2012,24,Crepuscular,17:51:50,450,19,NA,1,0.48,15.66,10.1,8070,8.12,643,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00965,LF20121117,11/18/2012,24,Crepuscular,18:05:20,440,18,NA,1,0.51,16.3,10.2,8210,8.16,643,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00984,LF20121117,11/19/2012,4,Day,6:21:20,180,21.5,NA,1,0.75,27.43,10.5,8970,8.37,638,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00985,LF20121117,11/19/2012,24,Crepuscular,6:35:00,250,24.5,NA,1,0.7,12.72,10.5,8970,8.37,638,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00986,LF20121117,11/19/2012,24,Crepuscular,6:47:30,260,26,NA,1,0.73,13.77,10.5,8940,8.36,637,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00987,LF20121117,11/19/2012,24,Crepuscular,6:58:00,280,21.5,NA,1,0.74,15.19,10.5,8970,8.37,634,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00988,LF20121117,11/19/2012,24,Crepuscular,7:10:10,290,20,NA,1,0.81,17.14,10.5,8970,8.37,634,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00990,LF20121117,11/19/2012,3,Day,7:46:00,310,21.5,NA,1,0.92,20.84,10.5,8970,8.37,632,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00991,LF20121117,11/19/2012,3,Day,10:30:30,140,22.5,NA,1,1.04,10.61,10.4,11200,8.93,639,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00992,LF20121117,11/19/2012,24,Day,10:45:00,160,26.5,NA,1,0.85,9.89,10.3,11600,9.01,638,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00993,LF20121117,11/19/2012,24,Day,10:59:20,170,27.5,NA,1,0.95,11.81,10.3,12000,9.1,638,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00994,LF20121117,11/19/2012,24,Day,11:13:20,180,22.5,NA,1,1.01,13.27,10.3,12300,9.17,639,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00995,LF20121117,11/19/2012,24,Day,11:30:40,180,21.5,NA,1,1.02,13.38,10.3,12600,9.25,638,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00996,LF20121117,11/19/2012,24,Day,11:42:40,200,19,NA,1,0.71,10.3,10.3,13000,9.34,638,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00997,LF20121117,11/19/2012,3,Day,14:05:40,220,23,NA,1,1.14,18.27,10.2,16600,10.05,642,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00998,LF20121117,11/19/2012,24,Day,14:20:20,170,27,NA,1,1.13,13.99,10.2,17100,10.13,644,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00999,LF20121117,11/19/2012,24,Day,14:35:10,190,28,NA,1,1.05,14.62,10.2,17500,10.21,637,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01000,LF20121117,11/19/2012,24,Day,14:49:30,160,23.5,NA,1,1.17,13.64,10.2,18000,10.29,637,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01001,LF20121117,11/19/2012,24,Day,15:03:30,160,22,NA,1,1.12,13.07,10.2,18400,10.36,637,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01002,LF20121117,11/19/2012,24,Day,15:20:50,140,21,NA,1,0.8,8.19,10.1,18900,10.45,637,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01003,LF20121117,11/19/2012,3,Crepuscular,18:05:30,120,24,NA,1,1.36,11.87,10.3,23200,11.14,646,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01004,LF20121117,11/19/2012,24,Crepuscular,18:19:30,170,28,NA,1,1.24,15.37,10.3,23700,11.21,646,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01005,LF20121117,11/19/2012,24,Crepuscular,18:33:40,200,28.5,NA,1,1.29,18.87,10.3,24100,11.27,646,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01006,LF20121117,11/19/2012,24,Crepuscular,18:47:20,170,24,NA,1,1.35,16.71,10.3,24500,11.33,646,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01007,LF20121117,11/19/2012,24,Night,19:00:20,150,23,NA,1,1.42,15.53,10.4,24800,11.38,646,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01008,LF20121117,11/19/2012,24,Night,19:12:00,150,22,NA,1,1.04,11.4,10.4,25100,11.42,652,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01033,LF20121117,11/20/2012,24,Day,8:12:50,220,26,NA,1,1.63,26.12,9.6,43300,13.66,686,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01034,LF20121117,11/20/2012,24,Day,8:29:30,170,24,NA,1,1.69,20.96,9.6,43900,13.73,690,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01035,LF20121117,11/20/2012,24,Day,8:41:30,150,24,NA,1,1.38,15.15,9.6,43800,13.72,688,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01036,LF20121117,11/20/2012,24,Day,9:14:20,110,24,NA,1,1.9,15.26,9.6,43900,13.73,692,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01037,LF20121117,11/20/2012,24,Day,16:03:10,230,31.5,NA,1,1.52,25.54,9.5,44700,13.82,695,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01038,LF20121117,11/20/2012,3,Day,12:13:00,220,26,NA,1,1.61,25.84,9.5,44600,13.81,690,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01039,LF20121117,11/20/2012,24,Day,12:27:50,220,30,NA,1,1.63,26.14,9.5,44200,13.76,690,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01040,LF20121117,11/20/2012,24,Day,12:45:50,220,31.5,NA,1,1.64,26.38,9.5,44600,13.81,691,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01041,LF20121117,11/20/2012,24,Day,13:00:00,170,26,NA,1,1.6,19.92,9.5,44200,13.76,692,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01042,LF20121117,11/20/2012,24,Day,13:12:20,180,24,NA,1,1.68,22.07,9.5,44200,13.77,690,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01043,LF20121117,11/20/2012,24,Day,13:26:10,200,24,NA,1,1.39,20.29,9.5,44400,13.79,690,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01044,LF20121117,11/20/2012,3,Day,15:33:20,210,26,NA,1,1.58,24.25,9.5,44600,13.81,694,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01045,LF20121117,11/20/2012,24,Day,15:48:40,230,30,NA,1,1.53,25.76,9.5,44200,13.77,692,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01046,LF20121117,11/20/2012,24,Day,16:18:00,210,26,NA,1,1.62,24.82,9.5,44600,13.81,696,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01047,LF20121117,11/20/2012,24,Day,16:32:10,190,24,NA,1,1.61,22.3,9.5,44500,13.8,696,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01048,LF20121117,11/20/2012,24,Day,16:43:40,140,24,NA,1,1.89,19.32,9.5,44400,13.79,696,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01049,LF20121117,11/21/2012,24,Crepuscular,18:13:00,240,30,NA,1,1.51,26.48,9.6,42200,13.52,698,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01050,LF20121117,11/20/2012,3,Crepuscular,18:23:20,180,26,NA,1,1.69,22.2,9.6,44300,13.78,695,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01051,LF20121117,11/20/2012,24,Crepuscular,18:37:20,230,30,NA,1,1.59,26.77,9.6,44300,13.78,695,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01052,LF20121117,11/20/2012,24,Crepuscular,18:52:00,240,31.5,NA,1,1.53,26.72,9.6,44400,13.79,695,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01053,LF20121117,11/20/2012,24,Night,19:05:50,200,26,NA,1,1.55,22.64,9.6,44400,13.79,695,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01054,LF20121117,11/20/2012,24,Night,19:17:40,200,24,NA,1,1.52,22.14,9.7,44400,13.79,695,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01055,LF20121117,11/20/2012,24,Night,19:30:30,180,24,NA,1,1.34,17.6,9.7,44600,13.81,695,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01096,LF20121117,11/21/2012,3,Day,9:09:40,210,25.5,NA,1,1.63,24.94,9.5,44300,13.78,699,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01097,LF20121117,11/21/2012,24,Day,9:25:40,260,29.5,NA,1,1.41,26.7,9.5,44200,13.76,699,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
