BarcodeID,SpeciesID,CountTotal,SizeMean,SizeMedian,SizeSD,BiomassTotal,Notes
D00736,CHIL,24,3.54,4,1.38,1.54,
D00736,GAMM,0,NA,NA,NA,0,
D00736,NZMS,10,0.65,0.5,0.47,0.14,
D00736,SIML,0,NA,NA,NA,0,
D00737,CHIL,44,3.26,3,1.15,2.16,
D00737,GAMM,0,NA,NA,NA,0,
D00737,NZMS,24,0.56,0.5,0.31,0.2,
D00737,SIML,1,4,4,NA,0.13,
D00738,CHIL,12,3.42,3.5,0.9,0.61,
D00738,GAMM,0,NA,NA,NA,0,
D00738,NZMS,0,NA,NA,NA,0,
D00738,SIML,0,NA,NA,NA,0,
D00739,CHIL,10,3,3,1.15,0.4,
D00739,GAMM,0,NA,NA,NA,0,
D00739,NZMS,3,0.67,0.5,0.29,0.03,
D00739,SIML,0,NA,NA,NA,0,
D00740,CHIL,445,2.99,3,1.28,19.41,
D00740,GAMM,2,2,2,1.41,0.21,
D00740,NZMS,11,0.68,0.5,0.25,0.11,
D00740,SIML,2,3.5,3.5,0.71,0.18,
D00741,CHIL,259,2.63,2,1.02,7.7,
D00741,GAMM,4,1.5,1.5,0.58,0.14,
D00741,NZMS,29,0.57,0.5,0.29,0.23,
D00741,SIML,0,NA,NA,NA,0,
D00742,CHIL,206,2.87,3,1.09,7.75,
D00742,GAMM,1,1,1,NA,0.01,
D00742,NZMS,0,NA,NA,NA,0,
D00742,SIML,1,2,2,NA,0.02,
D00743,CHIL,127,2.43,2,1.06,3.31,
D00743,GAMM,0,NA,NA,NA,0,
D00743,NZMS,17,0.56,0.5,0.17,0.1,
D00743,SIML,4,3,3.5,1.41,0.31,
D00744,CHIL,392,3.08,3,1.2,17.49,
D00744,GAMM,2,3,3,0,0.4,
D00744,NZMS,2,1.5,1.5,0.71,0.13,
D00744,SIML,1,3,3,NA,0.05,
D00769,CHIL,281,3,3,1.05,11.16,
D00769,GAMM,0,NA,NA,NA,0,
D00769,NZMS,13,1.92,2,0.28,1.31,
D00769,SIML,4,2,2,1.15,0.11,
D00771,CHIL,199,2.53,2,0.96,5.32,
D00771,GAMM,0,NA,NA,NA,0,
D00771,NZMS,0,NA,NA,NA,0,
D00771,SIML,1,2,2,NA,0.02,
D00924,CHIL,122,2.54,2,0.96,3.28,
D00924,GAMM,1,3,3,NA,0.2,
D00924,NZMS,10,0.5,0.5,0,0.04,
D00924,SIML,4,2.75,3,0.5,0.18,
D00925,CHIL,726,2.64,2,1.12,22.85,
D00925,GAMM,15,1.2,1,0.41,0.29,
D00925,NZMS,164,0.57,0.5,0.31,1.38,
D00925,SIML,3,3,3,1,0.2,
D00926,CHIL,1096,3.31,3,1.12,55.62,
D00926,GAMM,4,1.75,1,1.5,0.48,
D00926,NZMS,37,0.69,0.5,0.53,0.69,
D00926,SIML,2,4.5,4.5,0.71,0.38,
D00927,CHIL,1269,2.88,3,1.09,47.51,
D00927,GAMM,5,1.8,2,0.84,0.34,
D00927,NZMS,0,NA,NA,NA,0,
D00927,SIML,3,3.67,4,1.53,0.4,
D00928,CHIL,983,3.25,3,0.95,45.18,
D00928,GAMM,12,2.08,2,0.67,1.04,
D00928,NZMS,2,1.5,1.5,0.71,0.13,
D00928,SIML,4,2,2,0,0.06,
D00937,CHIL,1476,3.01,3,0.87,55.55,
D00937,GAMM,17,2.71,3,1.45,4.37,
D00937,NZMS,302,1.03,0.5,0.89,15.97,
D00937,SIML,0,NA,NA,NA,0,
D00938,CHIL,947,3.3,3,0.74,42.5,
D00938,GAMM,10,2.2,2,0.79,1.06,
D00938,NZMS,142,0.56,0.5,0.34,1.33,
D00938,SIML,1,2,2,NA,0.02,
D00939,CHIL,545,3.28,3,1.01,26.2,
D00939,GAMM,8,2.12,2,1.13,1,
D00939,NZMS,61,0.61,0.5,0.34,0.6,
D00939,SIML,0,NA,NA,NA,0,
D00940,CHIL,400,2.98,3,1.01,15.37,
D00940,GAMM,7,2.57,3,0.98,1.17,
D00940,NZMS,26,0.67,0.5,0.49,0.41,
D00940,SIML,1,3,3,NA,0.05,
D00941,CHIL,451,3.9,4,0.98,32.02,
D00941,GAMM,6,3,2.5,1.26,1.7,
D00941,NZMS,7,2,2,0.58,0.85,
D00941,SIML,0,NA,NA,NA,0,
D00948,CHIL,93,3.89,4,1.17,6.62,
D00948,GAMM,467,2.87,3,1.08,111.32,
D00948,NZMS,5313,0.5,0.5,0.06,20.6,
D00948,SIML,4,2.75,3,0.5,0.18,
D00949,CHIL,234,4.38,4,1.69,26.17,
D00949,GAMM,107,3.18,3,2.04,72.59,
D00949,NZMS,482,0.53,0.5,0.15,2.43,
D00949,SIML,0,NA,NA,NA,0,
D00950,CHIL,13,4.69,5,1.11,1.46,
D00950,GAMM,291,3,3,1.19,84.18,
D00950,NZMS,293,1.01,1,0.44,8.46,
D00950,SIML,0,NA,NA,NA,0,
D00951,CHIL,12,4,3,1.81,1.14,
D00951,GAMM,5,3.4,3,1.14,1.77,
D00951,NZMS,10,1.3,1,0.92,0.71,
D00951,SIML,0,NA,NA,NA,0,
D00952,CHIL,0,NA,NA,NA,0,
D00952,GAMM,1,2,2,NA,0.06,
D00952,NZMS,1,1,1,NA,0.02,
D00952,SIML,2,4,4,0,0.26,
D00953,CHIL,1,5,5,NA,0.12,
D00953,GAMM,0,NA,NA,NA,0,
D00953,NZMS,2,1,1,0,0.04,
D00953,SIML,1,2,2,NA,0.02,
D00954,CHIL,1,3,3,NA,0.03,
D00954,GAMM,2,4,4,1.41,1.06,
D00954,NZMS,23,0.67,0.5,0.24,0.22,
D00954,SIML,0,NA,NA,NA,0,
D00955,CHIL,22,2.73,3,0.83,0.64,
D00955,GAMM,11,2.64,2,1.29,2.43,
D00955,NZMS,738,0.52,0.5,0.09,3.13,
D00955,SIML,26,2.96,3,1.11,1.98,
D00956,CHIL,1,3,3,NA,0.03,
D00956,GAMM,1,1,1,NA,0.01,
D00956,NZMS,5,0.8,1,0.27,0.07,
D00956,SIML,1,3,3,NA,0.05,
D00957,CHIL,3,4.67,4,2.08,0.39,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D00957,GAMM,0,NA,NA,NA,0,
D00957,NZMS,9,0.61,0.5,0.22,0.07,
D00957,SIML,0,NA,NA,NA,0,
D00958,CHIL,3,3.33,3,0.58,0.13,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D00958,GAMM,0,NA,NA,NA,0,
D00958,NZMS,4,1.75,2,0.5,0.34,
D00958,SIML,1,4,4,NA,0.13,
D00959,CHIL,1,3,3,NA,0.03,
D00959,GAMM,2,2.5,2.5,0.71,0.26,
D00959,NZMS,1,2,2,NA,0.11,
D00959,SIML,2,3,3,0,0.11,
D00961,CHIL,24,2.67,2.5,1.05,0.74,
D00961,GAMM,6,1.83,1.5,1.17,0.6,
D00961,NZMS,834,0.56,0.5,0.26,5.86,
D00961,SIML,7,2,2,0.58,0.13,
D00962,CHIL,3,2.67,2,1.15,0.09,
D00962,GAMM,1,1,1,NA,0.01,
D00962,NZMS,18,1.06,1,0.38,0.51,
D00962,SIML,0,NA,NA,NA,0,
D00963,CHIL,1,3,3,NA,0.03,
D00963,GAMM,0,NA,NA,NA,0,
D00963,NZMS,54,0.89,0.5,0.64,1.68,
D00963,SIML,4,2,2,1.15,0.11,
D00964,CHIL,1,5,5,NA,0.12,
D00964,GAMM,1,7,7,NA,2.25,
D00964,NZMS,14,1.14,1,0.5,0.51,
D00964,SIML,3,3.67,3,1.15,0.36,
D00965,CHIL,1,2,2,NA,0.01,
D00965,GAMM,0,NA,NA,NA,0,
D00965,NZMS,11,1,1,0.39,0.28,
D00965,SIML,1,1,1,NA,0,
D00984,CHIL,32,2.97,3,1.23,1.34,
D00984,GAMM,34,2.12,2,0.95,3.79,
D00984,NZMS,4802,0.5,0.5,0.08,19.24,
D00984,SIML,9,3,3,1.22,0.7,
D00985,CHIL,12,4.5,5,1.68,1.38,
D00985,GAMM,20,3.05,3,1.23,5.96,
D00985,NZMS,51,1.09,1,0.65,2.15,
D00985,SIML,6,3.5,3.5,1.38,0.72,
D00986,CHIL,12,3.5,3,0.9,0.64,
D00986,GAMM,28,2.39,2,0.88,3.9,
D00986,NZMS,44,0.95,1,0.24,0.87,
D00986,SIML,5,3.4,3,0.55,0.42,
D00987,CHIL,12,4.17,4,2.08,1.34,
D00987,GAMM,55,2.31,2,0.94,7.53,
D00987,NZMS,334,1.2,1,0.91,23.46,
D00987,SIML,2,3.5,3.5,0.71,0.18,
D00988,CHIL,6,4,4,1.41,0.48,
D00988,GAMM,26,2.27,2,0.92,3.36,
D00988,NZMS,118,2.12,1,1.43,27.16,
D00988,SIML,3,4.67,5,0.58,0.64,
D00990,CHIL,27,3,3,1.21,1.16,
D00990,GAMM,27,2.04,2,0.81,2.5,
D00990,NZMS,492,0.76,0.5,0.51,10.16,
D00990,SIML,6,2.83,3,0.41,0.29,
D00991,CHIL,53,3.06,3,0.98,2.14,
D00991,GAMM,43,1.94,2,0.86,3.76,
D00991,NZMS,2284,0.5,0.5,0.05,8.78,
D00991,SIML,2,2.5,2.5,0.71,0.07,
D00992,CHIL,53,3.11,3,1.37,2.6,
D00992,GAMM,118,3.3,3,1.79,60.38,
D00992,NZMS,120,0.65,0.5,0.7,3.38,
D00992,SIML,2,3.5,3.5,0.71,0.18,
D00993,CHIL,18,3.5,3,1.72,1.27,
D00993,GAMM,63,2.71,3,0.68,10.89,
D00993,NZMS,60,0.98,1,0.18,1.22,
D00993,SIML,2,3.5,3.5,0.71,0.18,
D00994,CHIL,15,3.13,4,1.41,0.73,
D00994,GAMM,24,2.83,3,0.76,4.82,
D00994,NZMS,62,1.41,1,1.08,6.37,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D00994,SIML,1,4,4,NA,0.13,
D00995,CHIL,15,3.27,3,0.8,0.67,
D00995,GAMM,37,2.41,2,0.86,5.25,
D00995,NZMS,82,1.11,1,0.58,3.38,
D00995,SIML,0,NA,NA,NA,0,
D00996,CHIL,19,3.26,3,1.28,0.99,
D00996,GAMM,26,1.88,2,0.86,2.1,
D00996,NZMS,70,1.25,1,0.79,4.39,
D00996,SIML,0,NA,NA,NA,0,
D00997,CHIL,59,3.07,3,0.89,2.33,
D00997,GAMM,66,2.09,2,0.89,7.11,
D00997,NZMS,11868,0.5,0.5,0,44.05,
D00997,SIML,1,3,3,NA,0.05,
D00998,CHIL,28,3.68,4,0.94,1.7,
D00998,GAMM,97,2.59,3,0.8,15.69,
D00998,NZMS,163,1,1,0.17,3.48,
D00998,SIML,3,3.67,4,0.58,0.31,
D00999,CHIL,18,3.11,3,1.37,0.87,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D00999,GAMM,77,2.65,3,0.83,13.58,
D00999,NZMS,308,1.01,1,0.17,6.7,
D00999,SIML,4,3.5,3.5,0.58,0.37,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D01000,CHIL,16,3.56,3.5,1.15,0.95,
D01000,GAMM,47,2.17,2,0.79,5.08,
D01000,NZMS,165,1.02,1,0.25,3.95,
D01000,SIML,3,3.33,3,0.58,0.24,
D01001,CHIL,5,4,4,1,0.37,
D01001,GAMM,38,2.68,3,0.87,7,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D01001,NZMS,56,1.04,1,0.41,1.66,
D01001,SIML,1,3,3,NA,0.05,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D01002,CHIL,4,4.5,4.5,2.08,0.49,
D01002,GAMM,27,2.26,2,0.81,3.17,
D01002,NZMS,54,1.11,1,0.35,1.68,
D01002,SIML,0,NA,NA,NA,0,
D01003,CHIL,80,3.46,3,1,4.25,
D01003,GAMM,224,2.63,3,1.18,48.1,
D01003,NZMS,599,1,1,0,11.98,
D01003,SIML,3,2.67,2,1.15,0.16,
D01004,CHIL,25,4.2,4,1.91,2.72,
D01004,GAMM,246,3.07,3,1.09,69.29,
D01004,NZMS,237,0.53,0.5,0.13,1.14,
D01004,SIML,2,3,3,1.41,0.15,
D01005,CHIL,19,3.89,4,1.2,1.4,
D01005,GAMM,122,3.52,3,1.91,72.09,
D01005,NZMS,153,1.03,1,0.18,3.5,
D01005,SIML,1,3,3,NA,0.05,
D01006,CHIL,16,4.44,5,1.21,1.6,
D01006,GAMM,131,3.05,3,0.83,32.21,
D01006,NZMS,311,1,1,0.06,6.31,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D01006,SIML,0,NA,NA,NA,0,
D01007,CHIL,14,3.79,4,1.19,0.97,
D01007,GAMM,130,2.77,3,0.77,24.29,
D01007,NZMS,132,1,1,0,2.64,
D01007,SIML,0,NA,NA,NA,0,
D01008,CHIL,8,3.75,4,1.49,0.57,
D01008,GAMM,56,3.2,3,0.96,16.77,
D01008,NZMS,50,1.04,1,0.2,1.18,
D01008,SIML,1,4,4,NA,0.13,
D01033,CHIL,10,4.6,5,1.58,1.18,
D01033,GAMM,201,2.88,3,0.98,47.38,
D01033,NZMS,197,1.05,1,0.37,5.66,
D01033,SIML,0,NA,NA,NA,0,
D01034,CHIL,10,4,3.5,1.56,0.87,
D01034,GAMM,116,3.18,3,0.93,33.82,
D01034,NZMS,0,NA,NA,NA,0,
D01034,SIML,1,4,4,NA,0.13,
D01035,CHIL,10,4.1,4,1.79,0.99,
D01035,GAMM,103,3.39,3,1.14,37.82,
D01035,NZMS,91,0.66,0.5,0.44,1.19,
D01035,SIML,0,NA,NA,NA,0,
D01036,CHIL,15,3.93,3,1.87,1.41,
D01036,GAMM,113,2.94,3,0.99,26.72,
D01036,NZMS,90,0.88,0.5,0.75,3.61,
D01036,SIML,1,4,4,NA,0.13,
D01037,CHIL,11,5.36,4,2.94,2.62,
D01037,GAMM,125,3.14,3,1.71,53.53,
D01037,NZMS,210,1.32,1,0.97,17.47,
D01037,SIML,1,2,2,NA,0.02,
D01038,CHIL,79,4.05,4,1.1,6.22,
D01038,GAMM,282,2.87,3,1.89,135.33,
D01038,NZMS,7464,0.5,0.5,0.05,28.68,
D01038,SIML,6,3.17,3,1.17,0.52,
D01039,CHIL,17,4.65,5,1.5,2.03,
D01039,GAMM,126,3.82,3,2.8,145.05,
D01039,NZMS,372,0.54,0.5,0.18,2.09,
D01039,SIML,4,4.25,4.5,1.71,0.84,
D01040,CHIL,13,4.92,5,1.66,1.84,
D01040,GAMM,144,3.12,3,1.38,48.69,
D01040,NZMS,290,1.03,1,0.32,7.61,
D01040,SIML,1,5,5,NA,0.25,
D01041,CHIL,5,4.2,5,1.64,0.47,
D01041,GAMM,141,3.23,3,1.11,46.13,
D01041,NZMS,135,1.02,1,0.15,2.96,
D01041,SIML,2,2.5,2.5,2.12,0.13,
D01042,CHIL,6,4.83,4.5,1.47,0.76,
D01042,GAMM,103,3.12,3,1.58,47.09,
D01042,NZMS,73,0.92,1,0.18,1.28,
D01042,SIML,0,NA,NA,NA,0,
D01043,CHIL,13,4.08,4,1.26,1.07,
D01043,GAMM,118,2.85,3,1.01,27.32,
D01043,NZMS,204,1.03,1,0.29,5.18,
D01043,SIML,0,NA,NA,NA,0,
D01044,CHIL,63,3.81,4,1.09,4.52,
D01044,GAMM,158,2.55,2,1.13,30.81,
D01044,NZMS,3116,0.5,0.5,0.09,12.64,
D01044,SIML,3,3,3,1,0.2,
D01045,CHIL,41,3.8,3,1.31,3.02,
D01045,GAMM,222,3.46,3,1.59,115.45,
D01045,NZMS,488,0.82,1,0.47,10.59,
D01045,SIML,5,4,4,0.71,0.69,
D01046,CHIL,8,5.25,5,1.39,1.23,
D01046,GAMM,134,2.72,3,0.94,26.01,
D01046,NZMS,138,1.01,1,0.29,3.33,
D01046,SIML,1,3,3,NA,0.05,
D01047,CHIL,9,4.22,4,1.3,0.83,
D01047,GAMM,96,3.48,3,1.65,49.64,
D01047,NZMS,54,1.11,1,0.32,1.61,
D01047,SIML,1,5,5,NA,0.25,
D01048,CHIL,9,4.56,5,1.24,0.96,
D01048,GAMM,97,2.77,3,1.05,21.85,
D01048,NZMS,0,NA,NA,NA,0,
D01048,SIML,0,NA,NA,NA,0,
D01049,CHIL,13,3.46,3,1.33,0.76,
D01049,GAMM,167,4.22,3,3.02,243.89,
D01049,NZMS,512,0.98,1,0.43,13.97,
D01049,SIML,3,3.33,3,1.53,0.32,
D01050,CHIL,83,3.37,3,1.26,4.42,
D01050,GAMM,233,2.73,3,1.79,114.21,
D01050,NZMS,470,0.52,0.5,0.11,2.1,
D01050,SIML,4,2,2,0.82,0.08,
D01051,CHIL,18,4.72,5,1.9,2.47,
D01051,GAMM,318,3.85,3,2.69,364.98,
D01051,NZMS,495,1,1,0,9.9,
D01051,SIML,1,4,4,NA,0.13,
D01052,CHIL,16,4.25,4.5,1.69,1.65,
D01052,GAMM,265,3.78,3,2.77,298.09,
D01052,NZMS,334,0.87,0.5,1.02,20.03,
D01052,SIML,1,6,6,NA,0.44,
D01053,CHIL,9,4,4,0.87,0.65,
D01053,GAMM,196,3.15,3,0.97,55.9,
D01053,NZMS,131,1.02,1,0.12,2.8,
D01053,SIML,2,4.5,4.5,0.71,0.38,
D01054,CHIL,4,6.75,6.5,0.96,1.09,
D01054,GAMM,141,2.94,3,0.79,31.5,
D01054,NZMS,64,0.91,1,0.34,1.31,
D01054,SIML,1,6,6,NA,0.44,
D01055,CHIL,6,4,4,1.41,0.48,
D01055,GAMM,128,3.08,3,0.84,33.26,
D01055,NZMS,47,1,1,0,0.94,
D01055,SIML,1,3,3,NA,0.05,
D01096,CHIL,46,3.24,3,0.9,2.06,
D01096,GAMM,91,2.81,3,1.13,21.8,
D01096,NZMS,1214,0.59,0.5,0.37,12.72,
D01096,SIML,0,NA,NA,NA,0,
D01097,CHIL,7,4.14,4,1.35,0.6,
D01097,GAMM,81,3.73,3,1.99,48.1,
D01097,NZMS,248,0.95,1,0.15,4.59,
D01097,SIML,2,3.5,3.5,0.71,0.18,
D01098,CHIL,3,3,3,1,0.11,
D01098,GAMM,76,3.56,3,1.82,57.41,
D01098,NZMS,209,1.09,1,0.52,7.79,
D01098,SIML,1,3,3,NA,0.05,
D01099,CHIL,6,4.83,4.5,2.32,0.93,
D01099,GAMM,53,3.25,3,1.16,18.67,
D01099,NZMS,99,1,1,0.17,2.09,
D01099,SIML,2,3.5,3.5,0.71,0.18,
D01100,CHIL,12,4.17,3.5,1.7,1.19,
D01100,GAMM,59,3.42,3,1.07,21.84,
D01100,NZMS,33,1.15,1,0.74,1.75,
D01100,SIML,0,NA,NA,NA,0,
D01101,CHIL,5,3.4,2,1.95,0.34,
D01101,GAMM,67,2.96,3,0.9,15.99,
D01101,NZMS,24,1.33,1,1.13,2.44,
D01101,SIML,0,NA,NA,NA,0,
D01102,CHIL,45,3.09,3,0.9,1.8,
D01102,GAMM,106,2.39,2,1.13,17.26,
D01102,NZMS,1693,0.5,0.5,0,6.28,
D01102,SIML,1,2,2,NA,0.02,
D01103,CHIL,22,4.05,4,0.95,1.68,
D01103,GAMM,92,3,3,1.25,32.86,
D01103,NZMS,317,0.85,1,0.23,4.78,
D01103,SIML,3,3.33,4,1.15,0.28,
D01104,CHIL,9,3.56,3,1.01,0.51,
D01104,GAMM,89,2.9,3,0.95,20.6,
D01104,NZMS,107,1.24,1,0.87,7.48,
D01104,SIML,1,3,3,NA,0.05,
D01105,CHIL,11,3.45,3,1.04,0.59,
D01105,GAMM,53,2.94,3,0.86,12.16,
D01105,NZMS,71,1.07,1,0.49,2.49,
D01105,SIML,0,NA,NA,NA,0,
D01106,CHIL,7,3.29,3,0.95,0.33,
D01106,GAMM,42,2.45,3,0.94,6.43,
D01106,NZMS,40,1,1,0,0.8,
D01106,SIML,0,NA,NA,NA,0,
D01107,CHIL,5,3.2,3,2.28,0.34,
D01107,GAMM,38,3.21,3,1.12,12.23,
D01107,NZMS,62,0.86,1,0.23,0.96,
D01107,SIML,1,3,3,NA,0.05,
D01109,CHIL,15,3.2,3,1.21,0.71,
D01109,GAMM,111,3.64,3,2.2,85.36,
D01109,NZMS,384,1.01,1,0.13,8.21,
D01109,SIML,3,3.33,3,1.53,0.32,
D01110,CHIL,9,3.11,3,0.93,0.37,
D01110,GAMM,59,3.27,3,1.87,34.28,
D01110,NZMS,111,1.04,1,0.3,2.87,
D01110,SIML,1,5,5,NA,0.25,
D01111,CHIL,5,4,4,1.58,0.42,
D01111,GAMM,47,3.15,3,1.08,14.2,
D01111,NZMS,20,1,1,0,0.4,
D01111,SIML,2,4.5,4.5,0.71,0.38,
D01112,CHIL,3,3.67,3,1.15,0.18,
D01112,GAMM,41,2.73,3,1.05,8.69,
D01112,NZMS,24,1.12,1,0.61,1.04,
D01112,SIML,0,NA,NA,NA,0,
D01113,CHIL,6,2.83,3,0.75,0.18,
D01113,GAMM,27,3.19,3,0.88,7.61,
D01113,NZMS,28,0.95,1,0.16,0.51,
D01113,SIML,0,NA,NA,NA,0,
D01114,CHIL,28,3.68,4,1.22,1.86,
D01114,GAMM,65,2.75,3,1.33,17.44,
D01114,NZMS,0,NA,NA,NA,0,
D01114,SIML,2,3,3,1.41,0.15,
D01115,CHIL,13,3.31,3,1.11,0.64,
D01115,GAMM,101,3.27,3,1.7,53.16,
D01115,NZMS,121,1.07,1,0.63,5.05,
D01115,SIML,5,4.8,5,0.84,1.21,
D01116,CHIL,4,4.5,5,1.73,0.44,
D01116,GAMM,84,3.51,3,1.45,38.02,
D01116,NZMS,46,0.75,0.5,0.57,1.07,
D01116,SIML,3,5,5,1,0.82,
D01117,CHIL,3,6.67,6,4.04,1.16,
D01117,GAMM,86,2.96,3,1.09,24.5,
D01117,NZMS,10,1.3,1,0.95,0.76,
D01117,SIML,2,3.5,3.5,0.71,0.18,
D01118,CHIL,2,3,3,0,0.06,
D01118,GAMM,73,3.2,3,1.08,21.62,
D01118,NZMS,0,NA,NA,NA,0,
D01118,SIML,3,3.67,4,0.58,0.31,
D01165,CHIL,28,3.21,3,1.03,1.29,
D01165,GAMM,44,2.66,2,1.33,10.84,
D01165,NZMS,1172,0.59,0.5,0.58,22.82,
D01165,SIML,1,3,3,NA,0.05,
D01166,CHIL,6,3.5,3,1.87,0.44,
D01166,GAMM,50,3.54,3,1.13,20.29,
D01166,NZMS,123,1.02,1,0.27,3.02,
D01166,SIML,2,4.5,4.5,0.71,0.38,
D01167,CHIL,9,3.44,3,1.74,0.64,
D01167,GAMM,47,3.38,3,1.23,17.98,
D01167,NZMS,48,0.99,1,0.84,2.39,
D01167,SIML,1,3,3,NA,0.05,
D01168,CHIL,3,3,3,1,0.11,
D01168,GAMM,17,2.82,3,0.64,3.19,
D01168,NZMS,13,1.08,1,0.28,0.35,
D01168,SIML,0,NA,NA,NA,0,
D01169,CHIL,2,3.5,3.5,0.71,0.1,
D01169,GAMM,17,3.24,3,1.09,5.36,
D01169,NZMS,6,1,1,0,0.12,
D01169,SIML,1,3,3,NA,0.05,
D01170,CHIL,3,2,2,1,0.04,
D01170,GAMM,19,3.26,3,0.99,6.03,
D01170,NZMS,8,1.38,1,1.06,0.72,
D01170,SIML,0,NA,NA,NA,0,
D01219,CHIL,9,4.67,5,1.32,1.03,
D01219,GAMM,37,3.14,3,0.86,9.98,
D01219,NZMS,74,1.03,1,0.16,1.66,
D01219,SIML,0,NA,NA,NA,0,
D01220,CHIL,2,3.5,3.5,0.71,0.1,
D01220,GAMM,29,3.31,3,0.85,8.95,
D01220,NZMS,7,1,1,0,0.14,
D01220,SIML,2,4,4,0,0.26,
D01221,CHIL,5,2.4,2,0.55,0.09,
D01221,GAMM,15,3.2,3,0.86,4.24,
